イヤー・オブ・ザ・ガン Year of the Gun (1991) ,
ロッキー5/最後のドラマ Rocky V (1990) ,
ベスト・キッド3/最後の挑戦 The Karate Kid III (1989) ,
ロックアップ Lock Up (1989) ,
ブロードキャスト・ニュース Broadcast News (1987) ,
"ベスト・キッド2 The Karate Kid, Part II (1986) ",「Glory of Love(グローリー・オブ・ラブ)」Peter Cetera(ピーター・セテラ)
F/X引き裂かれたトリック (1986) ,
ボンド/バック・イン・アクション Bond Back in Action (1999) ,
南軍と北軍 North and South (1985) ,
ベスト・キッド The Karate Kid (1984) ,「The Moment Of Truth(ザ・モーメント・オブ・トゥルース)」Survivor(サバイバー)
ライトスタッフ The Right Stuff (1983) ,
ロッキー3 Rocky III (1982) ,「Eye Of The Tiger(アイ・オブ・ザ・タイガー)」Survivor(サバイバー) … アカデミー主題歌賞にノミネート。
007/ユア・アイズ・オンリー For Your Eyes Only (1981) ,「For Your Eyes Only(ユア・アイズ・オンリー)」Sheena Easton(シーナ・イーストン)
ロッキー2 Rocky II (1979) ,
フィスト F.I.S.T. (1978) ,
パラダイス・アレイ Paradise Alley (1978) ,
"グリニッチ・ビレッジの青春 Next Stop, Greenwich Village (1976) ",
ロッキー Rocky (1976) ,
ハリーとトント Harry and Tonto (1974) ,
レ・ミゼラブル Les Miserables (1998) ,
スターシップ・トゥルーパーズ Starship Troopers (1997) ,
スイッチバック Switchback (1997) ,
ブレーキ・ダウン Breakdown (1997) ,
Amanda (1996) ,
タンク・ブラザース/脱線ファンに御用心 Celtic Pride (1996) ,
The War/戦場の記憶 The War at Home (1996) ,
フリー・ウィリー2 Free Willy 2: The Adventure Home (1995) ,「Childhood」Michael Jackson(マイケル・ジャクソン)
ラスト・パーティ It's My Party (1995) ,
暴走特急 Under Siege 2: Dark Territory (1995) ,
ジャングル・ブック The Jungle Book (1994) ,
名犬ラッシー Lassie (1994) ,
沈黙の要塞 On Deadly Ground (1994) ,
シリアル・ママ Serial Mom (1994) ,
フリー・ウィリー Free Willy (1993) ,「Will You Be There」Michael Jackson(マイケル・ジャクソン)
ホット・ショット2 Hot Shots! Part Deux (1993) ,
ロボコップ3 Robocop 3 (1993) ,
ウインズ Wind (1992) ,
ハーレー・ダビッドソン＆マルボロマン Harley Davidson and the Marlboro Man (1991) ,
ブラッディ・ガン Quigley Down Under (1991) ,
ブルーラグーン Return to the Blue Lagoon (1991) ,
ホワイトファング White Fang (1991) ,
イントルーダー/怒りの翼 Flight of the Intruder (1990) ,
レッド・オクトーバーを追え！ The Hunt for Red October (1990) ,
戦場 Farewell to the King (1989) ,
ベルーシ/ブルースの消えた夜 Wired (1989) ,
チェリー2000 Cherry 2000 (1987) ,
ノー・マンズ・ランド No Man's Land (1987) ,
ロボコップ Robocop (1987) ,
アイアン・イーグル Iron Eagle (1986) ,「One Vision(ワン・ヴィジョン)」Queen(クイーン)
グレート・ウォリアーズ/欲望の剣 Flesh & Blood (1985) ,
American Journeys (1984) ,
キング・オブ・デストロイヤー/コナンPART2 Conan the Destroyer (1984) ,
The House of God (1984) ,
Making the Grade (1984) ,
アメリカ万歳 Protocol (1984) ,
若き勇者たち Red Dawn (1984) ,
青い恋人たち Summer Lovers (1982) ,
コナン・ザ・グレート Conan the Barbarian (1981) ,
青い珊瑚礁 The Blue Lagoon (1980) ,
90028 (1979) ,
Dolphin (1979) ,
ビッグ・ウェンズデー Big Wednesday (1978) ,
タイガーシャーク Tintorera (1977) ,
Extreme Close-Up (1973) ,
幽体離脱 Eden (1997) ,
ターミネーター4 Terminator: Salvation (2009) ,
JM/ジョニー・ネモニック Johnny Mnemonic (1995) ,
ブリンク/瞳が忘れない Blink (1994) ,
トゥルーライズ True Lies (1994) ,「Sunshine Of Your Love(サンシャイン・ラヴ)」Living Colour(リヴィング・カラー) … オリジナルは、Cream(クリーム)。アルバム「
ブロンディー/女銀行強盗 The Real McCoy (1993) ,
スリー・リバーズ Striking Distance (1993) ,
ファイティング・キッズ Gladiator (1992) ,
ストレート・トーク/こちらハートのラジオ局 Straight Talk (1992) ,
ターミネーター2 Terminator 2: Judgment Day (1991) ,「You Could Be Mine(ユー・クッド・ビー・マイン)」Guns N' Roses(ガンズ・アンド・ローゼズ) … アルバム「
ブルースチール Blue Steel (1990) ,
フライトナイト2/バンパイヤの逆襲 Fright Night Part II (1989) ,
この愛の行方 Immediate Family (1989) ,
トゥルー・ビリーヴァー/はぐれ弁護士の執念 True Believer (1989) ,
告発の行方 The Accused (1988) ,
ゾンビ伝説 The Serpent and the Rainbow (1988) ,
ビッグ・イージー (ブロンド・ターゲット/美人検事VS戦慄の殺人コップ) The Big Easy (1987) ,
怒りの裁き Nowhere to Hide (1987) ,
デザート・ブルーム/キノコ雲と少女 Desert Bloom (1986) ,
