ルパン三世/カリオストロの城 (1979) ,炎のたからもの,炎のたからもの,ルパン三世 カリオストロの城 オリジナル・サウンドトラック BGM集,Yuji Ohno,1983-03-21,189266,31,2,0,0.372,0.869,0.472,0.00196,0.227,-8.748,0.0319,117.987,3,0.407
人間の証明 (1977) ,人間の証明,人間の証明のテーマ(角川映画「人間の証明」より),日本映画・TVドラマ主題曲集,Claude Ciari,2010-06-16,218800,7,4,0,0.547,0.756,0.32,0.61,0.126,-10.939,0.0282,126.132,4,0.242
男が女を愛する時 When a Man Loves a Woman (1994) ,When A Man Loves A Woman,When A Man Loves A Woman,Essential Love Songs,Richard Clayderman,2015-04-03,175480,51,3,1,0.43,0.731,0.425,0.664,0.113,-16.113,0.0438,198.1,4,0.287
いいひと。 (1997) ,セロリ,セロリ,世界に一つだけの花~SMAPコレクション,Relaxing Orgel,2003,262813,6,6,1,0.558,0.872,0.455,0.842,0.125,-11.672,0.0444,156.103,4,0.681
恋のバカンス (1997) ,Everything,Everything,Everything,Diamond Eyes,2018-04-10,267428,62,10,1,0.609,0.0509,0.681,0,0.0845,-4.084,0.0516,140.038,4,0.386
白線流し (1996) ,空も飛べるはず,空も飛べるはず,CYCLE HIT 1991-1997 Spitz Complete Single Collection,SPITZ,2006-03-25,271400,60,0,1,0.593,0.0424,0.81,2.83e-06,0.119,-4.389,0.0278,114.936,4,0.67
沙粧妙子-最後の事件- (1995) ,LADY LUCK,LADY LUCK,フロム イエスタデイ,Keisuke Kuwata,1992-06-27,351400,31,9,0,0.687,0.605,0.604,2.42e-05,0.071,-8.15,0.0288,103.137,4,0.597
男はつらいよ (1969) ,男はつらいよ,男はつらいよ,RETRO MODERN DANDY,Takeshi Senoo,2009-10-21,141226,20,7,1,0.397,0.993,0.306,0.878,0.0796,-14.046,0.0372,129.555,4,0.307
稲村ジェーン (1990) ,真夏の果実,真夏の果実,真夏の果実,サザンオールスターズ,1990-07-25,279300,58,2,1,0.466,0.825,0.541,0.00304,0.0903,-7.687,0.0447,201.295,4,0.436
耳をすませば (1995) ,カントリー・ロード,カントリー・ロード,平成ペイン,go!go!vanillas,2017-05-17,233200,27,9,1,0.423,0.0087,0.884,5.01e-05,0.233,-2.711,0.0514,114.469,4,0.7
