147,イエスタデイ,Traveler,Official HIGE DANdism,2019-09-11,299164,58,6,1,0.541,0.0442,0.8,0.0,0.398,-3.687,0.0382,129.939,4,0.56
148,Letter,Tragicomedy,SHE'S,2020-07-01,262386,55,1,1,0.605,0.271,0.647,0.359,0.108,-6.679,0.0245,112.038,4,0.495
149,アボカド,Coming Spring,yonige,2015-08-19,212773,48,2,1,0.535,0.00333,0.918,1.51e-06,0.37,-3.543,0.0512,142.068,4,0.533
150,swim,CAVU,04 Limited Sazabys,2015-04-01,207000,49,9,1,0.457,0.00132,0.944,1.37e-05,0.379,-2.687,0.0782,97.508,4,0.636
151,甘えちゃってSorry,甘えちゃってSorry,AYA A.K.A PANDA,2017-11-01,182668,53,8,1,0.74,0.0618,0.592,0.0,0.065,-8.159,0.239,140.043,4,0.747
152,欲望に満ちた青年団,ゼイタクビョウ,ONE OK ROCK,2007-11-21,202200,59,11,1,0.554,0.0479,0.752,0.0,0.364,-5.473,0.0303,87.985,4,0.694
153,大阪LOVER,大阪LOVER,DREAMS COME TRUE,2007-01-01,266560,60,4,0,0.745,0.00554,0.727,0.0,0.375,-4.902,0.0268,129.703,4,0.546
154,Love Is Over,chelmico,chelmico,2016-10-19,220826,31,7,1,0.884,0.129,0.738,0.0,0.154,-7.735,0.0716,112.005,4,0.654
155,踊らせないで,踊らせないで,eill,2020-07-01,227161,0,11,1,0.736,0.0285,0.705,0.0,0.0725,-5.816,0.0312,106.99,4,0.84
156,a.m.3:21,a.m.3:21,yama,2020-08-12,208409,57,5,0,0.634,0.295,0.736,0.00011,0.215,-5.006,0.109,110.169,4,0.752
157,Dream,Dream,HIRAIDAI,2013-07-24,197600,52,10,1,0.699,0.00359,0.931,0.0,0.33,-3.834,0.065,129.006,4,0.783
158,ピースサイン,BOOTLEG,Kenshi Yonezu,2017-11-01,238533,0,10,0,0.593,0.00221,0.935,0.0,0.315,-3.853,0.0684,100.003,4,0.618
159,Man&Woman,evergreen,My Little Lover,1995-12-05,305666,44,0,1,0.635,0.136,0.797,0.000112,0.192,-7.182,0.0332,102.079,4,0.576
160,僕のこと,Attitude,Mrs. GREEN APPLE,2019-10-01,321306,62,7,1,0.439,0.0129,0.708,0.0,0.147,-3.825,0.0528,160.027,4,0.454
161,planet tree,Mr.mind,空音,2019-07-03,196000,28,0,1,0.493,0.218,0.743,0.0,0.699,-6.173,0.102,110.493,3,0.325
162,Wonderland,Shade,iri,2019-03-06,224786,56,0,1,0.724,0.325,0.829,0.000979,0.0855,-5.759,0.033,95.006,4,0.528
163,HONEY,NEO,RIRI,2018-11-28,187120,0,2,0,0.493,0.0579,0.753,0.0,0.219,-3.352,0.0514,99.812,4,0.409
164,貴方解剖純愛歌〜死ね〜,tamago,Aimyon,2015-08-05,266520,55,7,1,0.422,0.0028,0.918,0.0,0.0409,-3.347,0.069,168.029,4,0.469
165,ジェットコースターラブ,ジェットコースターラブ,KARA,2011-01-01,220600,26,0,1,0.73,0.0553,0.887,2.78e-05,0.0717,-3.031,0.0617,127.006,4,0.65
166,未完成,未完成,Leo Ieiri,2020-01-29,240546,58,7,1,0.66,0.163,0.722,0.0,0.306,-3.525,0.0344,90.116,4,0.425
167,たぶん,たぶん,YOASOBI,2020-07-20,258666,70,5,1,0.747,0.146,0.666,0.000912,0.0981,-6.395,0.0324,90.008,4,0.731
168,Lukewarm,Lukewarm,satomoka,2018-03-14,256453,50,2,1,0.669,0.537,0.408,1.12e-05,0.165,-7.809,0.0273,94.989,4,0.496
